bucket,n,mean_prob,empirical_yes,forecaster,regime,prompt_condition
"(-0.001, 0.2]",13,0.12153846153846154,0.07692307692307693,llm,long_term_low_data,question_only
"(0.2, 0.4]",8,0.3025,0.25,llm,long_term_low_data,question_only
"(0.4, 0.6]",4,0.4825,0.25,llm,long_term_low_data,question_only
"(0.6, 0.8]",4,0.6625,0.5,llm,long_term_low_data,question_only
"(0.8, 1.0]",1,0.85,1.0,llm,long_term_low_data,question_only
"(-0.001, 0.2]",8,0.09125,0.0,crowd,long_term_low_data,question_only
"(0.2, 0.4]",8,0.296625,0.375,crowd,long_term_low_data,question_only
"(0.4, 0.6]",7,0.5321428571428571,0.14285714285714285,crowd,long_term_low_data,question_only
"(0.6, 0.8]",3,0.7000000000000001,0.0,crowd,long_term_low_data,question_only
"(0.8, 1.0]",4,0.94,0.75,crowd,long_term_low_data,question_only
"(-0.001, 0.2]",9,0.10444444444444445,0.0,llm,long_term_low_data,question_plus_history
"(0.2, 0.4]",11,0.2990909090909091,0.36363636363636365,llm,long_term_low_data,question_plus_history
"(0.4, 0.6]",5,0.552,0.2,llm,long_term_low_data,question_plus_history
"(0.6, 0.8]",4,0.7,0.25,llm,long_term_low_data,question_plus_history
"(0.8, 1.0]",1,0.93,1.0,llm,long_term_low_data,question_plus_history
"(-0.001, 0.2]",8,0.09125,0.0,crowd,long_term_low_data,question_plus_history
"(0.2, 0.4]",8,0.296625,0.375,crowd,long_term_low_data,question_plus_history
"(0.4, 0.6]",7,0.5321428571428571,0.14285714285714285,crowd,long_term_low_data,question_plus_history
"(0.6, 0.8]",3,0.7000000000000001,0.0,crowd,long_term_low_data,question_plus_history
"(0.8, 1.0]",4,0.94,0.75,crowd,long_term_low_data,question_plus_history
"(-0.001, 0.2]",23,0.059565217391304354,0.17391304347826086,llm,short_term_high_data,question_only
"(0.2, 0.4]",0,,,llm,short_term_high_data,question_only
"(0.4, 0.6]",0,,,llm,short_term_high_data,question_only
"(0.6, 0.8]",1,0.65,0.0,llm,short_term_high_data,question_only
"(0.8, 1.0]",6,0.8999999999999999,1.0,llm,short_term_high_data,question_only
"(-0.001, 0.2]",16,0.03819375,0.0,crowd,short_term_high_data,question_only
"(0.2, 0.4]",2,0.2815,0.0,crowd,short_term_high_data,question_only
"(0.4, 0.6]",5,0.47800000000000004,0.6,crowd,short_term_high_data,question_only
"(0.6, 0.8]",4,0.70575,1.0,crowd,short_term_high_data,question_only
"(0.8, 1.0]",3,0.9390000000000001,1.0,crowd,short_term_high_data,question_only
"(-0.001, 0.2]",17,0.045294117647058825,0.0,llm,short_term_high_data,question_plus_history
"(0.2, 0.4]",2,0.28500000000000003,0.0,llm,short_term_high_data,question_plus_history
"(0.4, 0.6]",4,0.45,0.75,llm,short_term_high_data,question_plus_history
"(0.6, 0.8]",4,0.7075,1.0,llm,short_term_high_data,question_plus_history
"(0.8, 1.0]",3,0.9366666666666666,1.0,llm,short_term_high_data,question_plus_history
"(-0.001, 0.2]",16,0.03819375,0.0,crowd,short_term_high_data,question_plus_history
"(0.2, 0.4]",2,0.2815,0.0,crowd,short_term_high_data,question_plus_history
"(0.4, 0.6]",5,0.47800000000000004,0.6,crowd,short_term_high_data,question_plus_history
"(0.6, 0.8]",4,0.70575,1.0,crowd,short_term_high_data,question_plus_history
"(0.8, 1.0]",3,0.9390000000000001,1.0,crowd,short_term_high_data,question_plus_history
